019b1, device, north_route
5.24334223e+1, 1.35311363e+1, 613798, 3
5.24332834e+1, 1.35313529e+1, 618793, 3
5.24331656e+1, 1.35315281e+1, 623799, 2
5.24330522e+1, 1.35316908e+1, 628784, 2
5.24329562e+1, 1.35315706e+1, 633805, 2
5.24328687e+1, 1.35315503e+1, 638785, 2
5.24327704e+1, 1.35317215e+1, 643792, 2
5.24326822e+1, 1.35319111e+1, 648782, 2
5.24325786e+1, 1.35320913e+1, 653805, 2
5.24324604e+1, 1.35322772e+1, 658790, 2
5.24323308e+1, 1.35324705e+1, 663812, 2
5.24322188e+1, 1.35326628e+1, 668801, 3
5.2432089e+1, 1.35328457e+1, 673803, 3
5.24319457e+1, 1.35330077e+1, 678809, 3
5.24317936e+1, 1.3533171e+1, 683785, 3
5.24316366e+1, 1.3533421e+1, 688806, 3
5.24315084e+1, 1.35336229e+1, 693786, 3
5.24314168e+1, 1.35335493e+1, 698783, 4
5.24312755e+1, 1.35333481e+1, 703808, 4
5.24311371e+1, 1.35331272e+1, 708795, 4
5.24310064e+1, 1.35328984e+1, 713812, 4
5.2430903e+1, 1.35326138e+1, 718818, 4
5.24307814e+1, 1.35323121e+1, 723800, 4
5.24306744e+1, 1.35320199e+1, 728855, 4
5.2430557e+1, 1.35317254e+1, 733812, 4
5.24304486e+1, 1.35314534e+1, 738796, 4
5.24303572e+1, 1.35311725e+1, 743797, 4
5.2430381e+1, 1.35310347e+1, 748795, 4
5.24304024e+1, 1.353102e+1, 753792, 4
