df600, device, north_route
5.24325389e+1, 1.35321326e+1, 611290, 3
5.24323945e+1, 1.35323579e+1, 616306, 2
5.24322549e+1, 1.35325898e+1, 621279, 2
5.24321049e+1, 1.3532784e+1, 626311, 2
5.24319499e+1, 1.35329673e+1, 631291, 2
5.24318204e+1, 1.35331936e+1, 636304, 2
5.24316939e+1, 1.35333831e+1, 641081, 2
5.24316107e+1, 1.35335625e+1, 645891, 3
5.24315193e+1, 1.3533701e+1, 650885, 3
5.24314457e+1, 1.35334737e+1, 655419, 3
5.24312743e+1, 1.35332394e+1, 660310, 3
5.24311086e+1, 1.35330538e+1, 665037, 3
5.24309833e+1, 1.35328217e+1, 670001, 3
5.24309547e+1, 1.35327766e+1, 674556, 3
5.24309395e+1, 1.35327191e+1, 679440, 3
5.24309591e+1, 1.35327482e+1, 686290, 3
5.2430962e+1, 1.35327515e+1, 691278, 3
5.24309194e+1, 1.35326394e+1, 696294, 3
5.2430954e+1, 1.35327381e+1, 701028, 3
5.24307306e+1, 1.35321284e+1, 705924, 3
5.24305908e+1, 1.35317937e+1, 711291, 3
5.243049e+1, 1.3531522e+1, 716295, 3
5.24304378e+1, 1.35313322e+1, 721305, 3
5.24304773e+1, 1.35312669e+1, 726325, 3
