202c1, device, east_route
5.24311855e+1, 1.35278454e+1, 613263, 3
5.24309911e+1, 1.3528021e+1, 618264, 3
5.24307925e+1, 1.35281978e+1, 623291, 3
5.24306257e+1, 1.3528322e+1, 628275, 3
5.2430475e+1, 1.3528427e+1, 633250, 3
5.24304031e+1, 1.35287066e+1, 638255, 2
5.24304326e+1, 1.35290562e+1, 643227, 2
5.24304295e+1, 1.35294842e+1, 648266, 2
5.24304136e+1, 1.35298795e+1, 653264, 2
5.24304113e+1, 1.35302529e+1, 658249, 2
5.24303952e+1, 1.35305822e+1, 663268, 2
5.24304553e+1, 1.3530799e+1, 668267, 2
5.24304939e+1, 1.3530963e+1, 673269, 2
5.24304868e+1, 1.35309742e+1, 678266, 2
