79aa1, device, south_route
5.24325132e+1, 1.35299958e+1, 613803, 5
5.24323687e+1, 1.35301982e+1, 618786, 5
5.24322292e+1, 1.35304552e+1, 623773, 5
5.2432054e+1, 1.35304774e+1, 628790, 5
5.24318956e+1, 1.35302628e+1, 633806, 4
5.24317408e+1, 1.35299841e+1, 638802, 4
5.24316095e+1, 1.35297347e+1, 643798, 2
5.24314964e+1, 1.35295139e+1, 648808, 3
5.2431388e+1, 1.35296958e+1, 653806, 4
5.24312447e+1, 1.35298835e+1, 658804, 4
5.2431138e+1, 1.35300447e+1, 663796, 5
5.2431009e+1, 1.35302422e+1, 668816, 5
5.24308878e+1, 1.35304492e+1, 673792, 5
5.24307526e+1, 1.35306679e+1, 678809, 5
5.24306087e+1, 1.35309233e+1, 683802, 5
5.24304696e+1, 1.35310466e+1, 688811, 5
