time,rating
75.269,4
91.550,3
104.275,3
133.538,2
147.431,3
149.256,3
220.644,3
228.438,2
288.438,1
295.738,1
327.706,3
350.725,1
362.638,3
395.781,3
419.312,4
431.338,3
434.338,2
438.100,2
447.931,3
483.581,3
534.775,1
546.962,1
562.406,2
580.969,1
593.006,2
