67cd2, device, south_route
5.24330621e+1, 1.35307508e+1, 613756, 1
5.24329455e+1, 1.35305722e+1, 618766, 1
5.24328261e+1, 1.35303825e+1, 623776, 1
5.24327311e+1, 1.35302009e+1, 628782, 1
5.24326317e+1, 1.35299979e+1, 633760, 1
5.24325667e+1, 1.35299571e+1, 638773, 1
5.24324397e+1, 1.35300767e+1, 643768, 5
5.24323149e+1, 1.35302577e+1, 648797, 5
5.24322027e+1, 1.35304592e+1, 653768, 5
5.243209e+1, 1.3530558e+1, 658784, 5
5.24319772e+1, 1.35303479e+1, 663765, 5
5.24319039e+1, 1.35301956e+1, 668746, 5
5.2431812e+1, 1.35300248e+1, 673765, 3
5.24317091e+1, 1.35298924e+1, 678768, 3
5.24316081e+1, 1.35297374e+1, 683772, 2
5.24315349e+1, 1.35296274e+1, 688775, 2
5.24315097e+1, 1.35296034e+1, 693769, 2
5.24314307e+1, 1.35296327e+1, 698769, 2
5.24313253e+1, 1.35297234e+1, 703782, 2
5.24312239e+1, 1.35298413e+1, 708781, 2
5.24311542e+1, 1.35299903e+1, 713785, 2
5.24310585e+1, 1.35301479e+1, 718776, 5
5.24309485e+1, 1.35303098e+1, 723778, 5
5.24308435e+1, 1.35304689e+1, 728762, 5
5.24307449e+1, 1.35306575e+1, 733780, 5
5.24306363e+1, 1.35308177e+1, 738774, 5
5.24305312e+1, 1.3530957e+1, 743785, 5
5.2430478e+1, 1.35309818e+1, 748769, 5
