9defa, device, north_route
5.24365819e+1, 1.35284632e+1, 611725, 5
5.24364496e+1, 1.35286795e+1, 616842, 5
5.24362642e+1, 1.35289245e+1, 621522, 4
5.24361013e+1, 1.35291571e+1, 626859, 4
5.24359546e+1, 1.3529361e+1, 631851, 5
5.24358106e+1, 1.35295501e+1, 636600, 5
5.24356566e+1, 1.35297707e+1, 641678, 5
5.24356377e+1, 1.35297304e+1, 646848, 5
5.24355508e+1, 1.35295209e+1, 651801, 5
5.24354669e+1, 1.35293645e+1, 656696, 5
5.24353422e+1, 1.35291577e+1, 661437, 5
5.24352167e+1, 1.35289595e+1, 666851, 5
5.24352087e+1, 1.35289283e+1, 671838, 5
5.24351477e+1, 1.35288638e+1, 676604, 5
5.24350138e+1, 1.35287454e+1, 681846, 5
5.24348822e+1, 1.35288624e+1, 686840, 5
5.24347605e+1, 1.35290952e+1, 691547, 5
5.24346934e+1, 1.3529182e+1, 696322, 5
5.24346637e+1, 1.35292067e+1, 700976, 5
5.24345408e+1, 1.35293309e+1, 705585, 5
5.24344239e+1, 1.35295459e+1, 710664, 5
5.24343008e+1, 1.35296865e+1, 715238, 5
5.24341826e+1, 1.35299038e+1, 719942, 5
5.24340647e+1, 1.35301386e+1, 724503, 5
5.2433939e+1, 1.35303179e+1, 729386, 5
5.24338822e+1, 1.35304577e+1, 734097, 5
5.24338228e+1, 1.35306385e+1, 739503, 3
5.24336749e+1, 1.35308217e+1, 744216, 3
5.24334912e+1, 1.3531097e+1, 751843, 3
5.24333676e+1, 1.35313287e+1, 756838, 3
5.2433257e+1, 1.35314783e+1, 761834, 3
5.24331322e+1, 1.35316862e+1, 766843, 3
5.24330186e+1, 1.35317992e+1, 771702, 3
5.24329249e+1, 1.35317094e+1, 776417, 3
5.24328102e+1, 1.35316393e+1, 780959, 3
5.24327403e+1, 1.35317878e+1, 785464, 4
5.24326308e+1, 1.35319804e+1, 790204, 4
5.24324843e+1, 1.35322475e+1, 795702, 4
5.24323743e+1, 1.35324178e+1, 800320, 4
5.24322465e+1, 1.35326313e+1, 805964, 4
5.24321461e+1, 1.35328024e+1, 810542, 4
5.24320364e+1, 1.35329225e+1, 815617, 4
5.24319359e+1, 1.3533044e+1, 820565, 4
5.24317976e+1, 1.35332779e+1, 825459, 4
5.24316965e+1, 1.35334319e+1, 829962, 4
5.24315927e+1, 1.35336514e+1, 834795, 4
5.24315e+1, 1.35337817e+1, 839598, 4
5.24314805e+1, 1.35336049e+1, 844702, 4
5.24313606e+1, 1.35333903e+1, 849243, 5
5.24312349e+1, 1.35332525e+1, 853743, 5
5.24311251e+1, 1.35330555e+1, 858282, 5
5.24310133e+1, 1.35329007e+1, 863425, 5
5.24308961e+1, 1.35326354e+1, 869284, 5
5.24308022e+1, 1.35323753e+1, 874129, 5
5.24307161e+1, 1.3532147e+1, 878906, 4
5.24306347e+1, 1.35319294e+1, 883521, 4
5.24305507e+1, 1.35317082e+1, 888151, 4
5.24304766e+1, 1.35314761e+1, 893019, 4
5.24304683e+1, 1.35313391e+1, 898338, 4
