1bc97, mapping, north_route
5.24328416e+1, 1.35316519e+1, 610645, 3
5.24326967e+1, 1.35318909e+1, 615625, 3
5.24325628e+1, 1.35321086e+1, 620633, 3
5.24324262e+1, 1.35323169e+1, 625642, 3
5.24323123e+1, 1.35325165e+1, 630645, 3
5.24321753e+1, 1.35327357e+1, 635621, 3
5.2432053e+1, 1.35329312e+1, 640620, 3
5.24319132e+1, 1.35330993e+1, 645634, 3
5.24317579e+1, 1.35332553e+1, 650648, 3
5.24316772e+1, 1.3533404e+1, 655649, 3
5.24315813e+1, 1.35335536e+1, 660652, 3
5.24314134e+1, 1.35334326e+1, 665641, 3
5.24312596e+1, 1.35332765e+1, 670652, 3
5.24311188e+1, 1.35330662e+1, 675639, 3
5.24309878e+1, 1.35328314e+1, 680650, 3
5.24308865e+1, 1.35325736e+1, 685637, 3
5.2430778e+1, 1.35322963e+1, 690636, 3
5.24306819e+1, 1.35320465e+1, 695651, 3
5.24305821e+1, 1.35317891e+1, 700644, 3
5.24304937e+1, 1.35315368e+1, 705631, 3
5.24304454e+1, 1.35313058e+1, 710610, 3
5.24304965e+1, 1.3531217e+1, 715640, 3
5.24305724e+1, 1.35310921e+1, 720623, 3
5.24306693e+1, 1.35309904e+1, 725650, 3
5.24306656e+1, 1.3530999e+1, 730614, 3
5.24306822e+1, 1.35309846e+1, 740459, 3
5.24308115e+1, 1.35312378e+1, 745412, 3
5.2430826e+1, 1.35312408e+1, 750461, 3
