time,rating
28.962,5
51.781,5
74.625,5
190.131,4
201.988,4
211.744,3
212.050,2
215.588,1
224.194,1
230.975,2
238.344,1
260.769,5
289.162,5
304.594,5
321.006,5
344.831,5
353.650,5
379.225,5
471.069,5
