dcf45, audio, north_route
5.24335644e+1, 1.35308461e+1, 614215, 4
5.24333959e+1, 1.35311077e+1, 619231, 4
5.24332261e+1, 1.35313449e+1, 624204, 4
5.24330759e+1, 1.35316251e+1, 629247, 4
5.24329695e+1, 1.35316321e+1, 634239, 3
5.24328486e+1, 1.35315931e+1, 639235, 3
5.24327142e+1, 1.35318245e+1, 644244, 4
5.24325527e+1, 1.35320954e+1, 649243, 4
5.24323933e+1, 1.35323678e+1, 654230, 4
5.24322254e+1, 1.35326602e+1, 659216, 4
5.24320486e+1, 1.35328912e+1, 664239, 4
5.24318845e+1, 1.35331354e+1, 669231, 4
5.24317054e+1, 1.35334035e+1, 674219, 4
5.24315804e+1, 1.35336194e+1, 679221, 4
5.24315312e+1, 1.35337022e+1, 684241, 4
5.24314e+1, 1.35334945e+1, 689227, 4
5.24312291e+1, 1.35332111e+1, 694242, 4
5.2431051e+1, 1.35329346e+1, 699218, 4
5.24309002e+1, 1.35325978e+1, 704217, 4
5.2430764e+1, 1.3532251e+1, 709229, 4
5.24306271e+1, 1.35319053e+1, 714190, 4
5.24305068e+1, 1.35315733e+1, 719216, 4
5.24304495e+1, 1.35313349e+1, 724243, 4
