08888, audio, north_route
5.24315885e+1, 1.3533737e+1, 613220, 5
5.24314696e+1, 1.3533645e+1, 618229, 5
5.24313258e+1, 1.35333619e+1, 623229, 4
5.24311517e+1, 1.3533109e+1, 628256, 4
5.24309941e+1, 1.35328306e+1, 633219, 4
5.24308646e+1, 1.35324894e+1, 638222, 4
5.24307371e+1, 1.35321416e+1, 643245, 4
5.2430607e+1, 1.35317969e+1, 648204, 4
5.24304777e+1, 1.35314693e+1, 653237, 4
5.24304069e+1, 1.35311765e+1, 658219, 4
5.24305713e+1, 1.35310305e+1, 663218, 4
5.24306485e+1, 1.35311053e+1, 668217, 4
