time,rating
71.650,4
74.988,4
170.912,3
185.944,4
280.012,3
291.594,2
295.044,3
393.125,4
434.356,5
451.362,3
457.638,2
468.600,3
484.288,3
513.950,4
541.669,3
547.231,4
560.800,5
