c069f, audio, east_route
5.24309553e+1, 1.35280383e+1, 610043, 3
5.24307877e+1, 1.35281782e+1, 615029, 3
5.24306122e+1, 1.35283268e+1, 620029, 3
5.24304501e+1, 1.35285227e+1, 625049, 3
5.24304054e+1, 1.35288544e+1, 630015, 3
5.24304083e+1, 1.35291677e+1, 635052, 4
5.24304066e+1, 1.35294815e+1, 640044, 4
5.24304083e+1, 1.35298037e+1, 645043, 4
5.24303896e+1, 1.35301588e+1, 650054, 4
5.24303787e+1, 1.35304944e+1, 655038, 4
5.24304111e+1, 1.35307426e+1, 660030, 4
5.24305543e+1, 1.35308434e+1, 665052, 4
5.24305828e+1, 1.35308298e+1, 670042, 4
