time,rating
83.338,3
101.688,2
114.256,4
123.156,3
135.238,2
144.969,2
157.075,1
166.081,2
242.419,1
264.756,2
294.288,1
302.900,1
330.219,2
336.319,4
343.525,4
357.362,2
364.862,3
379.625,3
423.075,3
432.156,4
447.644,3
471.419,4
484.219,3
589.481,3
625.681,3
631.894,4
