1e86f, mapping, north_route
5.24320558e+1, 1.35328524e+1, 614573, 5
5.24319569e+1, 1.35329793e+1, 619583, 5
5.24318251e+1, 1.35331292e+1, 624357, 5
5.24316486e+1, 1.35333296e+1, 629377, 5
5.24315473e+1, 1.35335508e+1, 634093, 5
5.24314869e+1, 1.35335204e+1, 638737, 5
5.24313407e+1, 1.35332864e+1, 643236, 5
5.24311182e+1, 1.35330451e+1, 647908, 5
5.24310046e+1, 1.35330597e+1, 653493, 5
5.24309509e+1, 1.353276e+1, 659576, 5
5.24309449e+1, 1.35327659e+1, 664614, 5
5.24309442e+1, 1.35327666e+1, 669601, 5
5.24309362e+1, 1.35327615e+1, 674576, 5
5.24309355e+1, 1.3532761e+1, 679583, 5
5.24309354e+1, 1.3532761e+1, 684572, 5
5.24309262e+1, 1.35327611e+1, 689574, 5
5.2430904e+1, 1.35326726e+1, 694583, 5
5.24308236e+1, 1.3532417e+1, 699578, 5
5.24307079e+1, 1.35320823e+1, 704605, 5
5.24305799e+1, 1.35317228e+1, 709572, 5
5.24304404e+1, 1.35313725e+1, 714586, 5
5.24303364e+1, 1.35310863e+1, 719597, 5
5.24303314e+1, 1.35310672e+1, 724539, 5
5.2430336e+1, 1.35310875e+1, 729552, 5
5.243035e+1, 1.35309576e+1, 734574, 5
5.24303671e+1, 1.35308938e+1, 739575, 5
5.24303617e+1, 1.35308807e+1, 744575, 5
