77dc5, audio, south_route
5.24336618e+1, 1.35327752e+1, 606963, 4
5.24334603e+1, 1.35325468e+1, 613063, 4
5.24333377e+1, 1.35323099e+1, 618040, 4
5.24332216e+1, 1.35321432e+1, 623048, 4
5.24331046e+1, 1.35321126e+1, 628046, 4
5.2433043e+1, 1.35319747e+1, 633049, 4
5.24330826e+1, 1.35318338e+1, 638046, 3
5.2433017e+1, 1.35317245e+1, 643054, 2
5.24330794e+1, 1.35315596e+1, 648040, 2
5.24332111e+1, 1.35314067e+1, 653059, 4
5.24333112e+1, 1.35312453e+1, 658014, 4
5.24332657e+1, 1.35310834e+1, 663055, 1
5.2433146e+1, 1.35309063e+1, 668059, 1
5.24330332e+1, 1.35307199e+1, 673054, 1
5.2432919e+1, 1.3530544e+1, 678052, 1
5.24328159e+1, 1.35303423e+1, 683054, 1
5.24326982e+1, 1.35301293e+1, 688053, 1
5.24326171e+1, 1.35299685e+1, 693063, 1
5.24325259e+1, 1.3529965e+1, 698075, 2
5.24324253e+1, 1.35301063e+1, 703050, 2
5.24323165e+1, 1.35302909e+1, 708030, 4
5.24321907e+1, 1.35304989e+1, 713071, 4
5.24320494e+1, 1.35304735e+1, 718036, 4
5.24319041e+1, 1.35302405e+1, 723043, 4
5.24317716e+1, 1.3529997e+1, 728058, 4
5.24316266e+1, 1.35297685e+1, 733052, 2
5.24315119e+1, 1.35295839e+1, 738045, 2
5.24314306e+1, 1.35295106e+1, 743058, 2
5.24312994e+1, 1.35297464e+1, 748078, 2
5.24311708e+1, 1.35299181e+1, 753080, 2
5.24311125e+1, 1.35300617e+1, 758040, 2
5.24309953e+1, 1.3530257e+1, 763068, 2
5.24308358e+1, 1.35305356e+1, 768063, 2
5.2430702e+1, 1.3530754e+1, 773045, 4
5.24306035e+1, 1.35308829e+1, 778026, 4
