2cfdd, mapping, east_route
5.24314831e+1, 1.3527562e+1, 612254, 5
5.24313198e+1, 1.35276536e+1, 617339, 5
5.24311377e+1, 1.35278698e+1, 622461, 5
5.24309752e+1, 1.35279881e+1, 627221, 5
5.2430796e+1, 1.35281371e+1, 633711, 5
5.24306045e+1, 1.35283135e+1, 639066, 3
5.2430473e+1, 1.35284465e+1, 643751, 3
5.24304105e+1, 1.35286346e+1, 648363, 3
5.24303927e+1, 1.35288704e+1, 653130, 4
5.24303821e+1, 1.35292535e+1, 657950, 4
5.24303835e+1, 1.35294852e+1, 662529, 4
5.24303928e+1, 1.35297889e+1, 667115, 4
5.24303996e+1, 1.3530066e+1, 672111, 4
5.24303754e+1, 1.35304276e+1, 677386, 4
5.24303475e+1, 1.35307075e+1, 684063, 4
5.24303776e+1, 1.35308557e+1, 689072, 4
