d3975, mapping, north_route
5.24378435e+1, 1.35267022e+1, 614725, 3
5.24378435e+1, 1.35267022e+1, 619713, 3
5.24378435e+1, 1.35267022e+1, 624715, 3
5.24378427e+1, 1.35267126e+1, 629717, 3
5.24378426e+1, 1.35267138e+1, 634736, 3
5.24378426e+1, 1.35267139e+1, 639720, 3
5.24378426e+1, 1.35267139e+1, 644722, 3
5.24377806e+1, 1.35267848e+1, 649722, 3
5.24377013e+1, 1.35268655e+1, 654714, 3
5.2437663e+1, 1.35269315e+1, 659660, 3
5.24374386e+1, 1.35272799e+1, 664561, 3
5.24373567e+1, 1.3527365e+1, 669724, 3
5.24372645e+1, 1.35274911e+1, 674750, 3
5.24371337e+1, 1.35276917e+1, 679734, 3
5.2437001e+1, 1.35278586e+1, 684722, 3
5.24369025e+1, 1.35280014e+1, 689740, 3
5.24367816e+1, 1.35282161e+1, 694732, 3
5.24366433e+1, 1.35284021e+1, 699739, 3
5.24365192e+1, 1.35285713e+1, 704731, 3
5.24363849e+1, 1.35287269e+1, 709718, 3
5.24362724e+1, 1.35289296e+1, 714727, 3
5.243614e+1, 1.35291364e+1, 719712, 3
5.2435995e+1, 1.35293338e+1, 724744, 3
5.24358664e+1, 1.35295464e+1, 729736, 3
5.2435726e+1, 1.35297456e+1, 734755, 3
5.24356555e+1, 1.35296899e+1, 739727, 3
5.24355538e+1, 1.35295051e+1, 744720, 3
5.24354153e+1, 1.35293326e+1, 749718, 3
5.24353301e+1, 1.35291731e+1, 754724, 3
5.2435236e+1, 1.35289899e+1, 759721, 3
5.2435197e+1, 1.35288168e+1, 764732, 3
5.24350496e+1, 1.35287446e+1, 769731, 4
5.24348914e+1, 1.35288189e+1, 774735, 4
5.24348095e+1, 1.35290113e+1, 779735, 4
5.24347215e+1, 1.35291359e+1, 784747, 4
5.24346402e+1, 1.35292482e+1, 789738, 4
5.24345199e+1, 1.35294046e+1, 794740, 4
5.24344344e+1, 1.35295425e+1, 799725, 4
5.24343282e+1, 1.35296692e+1, 804742, 4
5.24342485e+1, 1.35297796e+1, 809725, 4
5.24341592e+1, 1.35299389e+1, 814735, 4
5.2434061e+1, 1.35300821e+1, 819715, 4
5.24339691e+1, 1.35302586e+1, 824733, 4
5.2433944e+1, 1.35303394e+1, 829761, 4
5.2433939e+1, 1.35303371e+1, 834749, 3
5.2433843e+1, 1.35304136e+1, 839747, 3
5.2433741e+1, 1.35305552e+1, 844748, 3
5.24336548e+1, 1.35307008e+1, 849742, 3
5.24335431e+1, 1.35308327e+1, 854738, 3
5.24334524e+1, 1.35309993e+1, 859748, 3
5.24333336e+1, 1.35311253e+1, 864686, 3
5.24332554e+1, 1.35312926e+1, 869740, 3
5.24331654e+1, 1.35314641e+1, 874742, 3
5.24330695e+1, 1.35316377e+1, 879745, 3
5.24329954e+1, 1.35315588e+1, 884746, 3
5.24329004e+1, 1.3531468e+1, 889742, 3
5.24328546e+1, 1.35315758e+1, 894733, 3
5.24327863e+1, 1.3531755e+1, 899751, 3
5.24326962e+1, 1.35319007e+1, 904733, 3
5.24325995e+1, 1.35320443e+1, 909733, 3
5.24325065e+1, 1.35321951e+1, 914745, 3
5.24324159e+1, 1.35323366e+1, 919740, 3
5.24323262e+1, 1.35324823e+1, 924730, 3
5.24322359e+1, 1.35326176e+1, 929741, 3
5.24321157e+1, 1.35327856e+1, 934749, 3
5.24320334e+1, 1.35329117e+1, 939747, 3
5.24319563e+1, 1.35330467e+1, 944762, 3
5.24318227e+1, 1.35332058e+1, 949734, 3
5.24317547e+1, 1.35333779e+1, 954763, 3
5.24316771e+1, 1.35335584e+1, 959740, 3
5.2431566e+1, 1.35336827e+1, 964743, 3
5.24314341e+1, 1.35335872e+1, 969739, 3
5.24313166e+1, 1.35333817e+1, 974736, 3
5.24312019e+1, 1.35332108e+1, 979748, 3
5.24310964e+1, 1.35330164e+1, 984751, 3
5.2430991e+1, 1.35328158e+1, 989739, 3
5.24308874e+1, 1.35325744e+1, 994736, 3
5.24307924e+1, 1.35323355e+1, 999744, 3
5.24306998e+1, 1.35320744e+1, 1004727, 3
5.24306223e+1, 1.35318536e+1, 1009741, 3
5.24305275e+1, 1.35316171e+1, 1014748, 3
5.2430457e+1, 1.35314207e+1, 1019709, 3
5.24303925e+1, 1.35311669e+1, 1024754, 3
5.24304328e+1, 1.35309878e+1, 1029731, 3
5.24304645e+1, 1.35309211e+1, 1034729, 3
