7e3ce, device, north_route
5.24320807e+1, 1.35328179e+1, 612989, 4
5.2431906e+1, 1.35330209e+1, 617971, 4
5.24317401e+1, 1.3533249e+1, 622982, 4
5.2431595e+1, 1.35334832e+1, 627972, 4
5.24314955e+1, 1.35335525e+1, 632973, 4
5.2431365e+1, 1.35333405e+1, 637988, 4
5.24311812e+1, 1.35331325e+1, 642982, 4
5.24310267e+1, 1.35328912e+1, 647980, 3
5.24309024e+1, 1.35325854e+1, 652988, 3
5.24307856e+1, 1.35322834e+1, 657972, 3
5.24306583e+1, 1.35319596e+1, 662971, 3
5.24305308e+1, 1.35316431e+1, 667974, 3
5.243045e+1, 1.35314078e+1, 673003, 3
5.24304488e+1, 1.3531308e+1, 677977, 3
5.2430462e+1, 1.35312978e+1, 682993, 3
