d606f, mapping, east_route
5.24304038e+1, 1.35289685e+1, 610650, 3
5.2430395e+1, 1.3529255e+1, 615872, 3
5.24304108e+1, 1.35296197e+1, 620869, 3
5.24304216e+1, 1.3529895e+1, 625929, 3
5.24304093e+1, 1.35302248e+1, 631066, 3
5.24303839e+1, 1.35305054e+1, 635726, 3
5.24303943e+1, 1.35307643e+1, 641264, 3
5.24304801e+1, 1.35308985e+1, 646198, 3
5.24305156e+1, 1.35309793e+1, 650927, 3
5.24305892e+1, 1.35310114e+1, 655827, 3
5.24306589e+1, 1.35310162e+1, 660385, 3
5.24306351e+1, 1.3531025e+1, 666244, 3
5.24306679e+1, 1.35310487e+1, 671245, 3
