513fb, audio, north_route
5.24342354e+1, 1.35297999e+1, 610064, 3
5.24340599e+1, 1.35300799e+1, 615068, 3
5.24339338e+1, 1.35303012e+1, 620056, 3
5.24338586e+1, 1.35305273e+1, 625072, 4
5.24336388e+1, 1.35307856e+1, 630079, 4
5.24334294e+1, 1.35310853e+1, 635070, 4
5.24332511e+1, 1.35313958e+1, 640061, 4
5.24330831e+1, 1.35317106e+1, 645063, 4
5.24329802e+1, 1.35317626e+1, 650058, 4
5.24328537e+1, 1.35316106e+1, 655051, 4
5.24327165e+1, 1.35318168e+1, 660043, 2
5.24325561e+1, 1.3532094e+1, 665056, 2
5.24323921e+1, 1.35323704e+1, 670037, 2
5.24322237e+1, 1.35326537e+1, 675061, 2
5.24320792e+1, 1.35328708e+1, 680057, 2
5.2431932e+1, 1.35331268e+1, 685052, 2
5.24317638e+1, 1.35333909e+1, 690075, 2
5.24315649e+1, 1.35336571e+1, 695072, 2
5.2431435e+1, 1.35335318e+1, 700077, 3
5.24312736e+1, 1.35332375e+1, 705058, 3
5.24310868e+1, 1.35329626e+1, 710064, 3
5.24309289e+1, 1.35326264e+1, 715040, 3
5.2430783e+1, 1.35322689e+1, 720071, 3
5.24306604e+1, 1.35319265e+1, 725042, 3
5.24305341e+1, 1.35315814e+1, 730027, 3
5.24304474e+1, 1.35312974e+1, 735060, 3
