d32bc, device, north_route
5.24339034e+1, 1.35303526e+1, 614790, 3
5.24337851e+1, 1.35305182e+1, 619786, 3
5.24336572e+1, 1.35306868e+1, 624790, 3
5.24335331e+1, 1.35308914e+1, 629787, 3
5.24333986e+1, 1.35310956e+1, 634798, 3
5.24332739e+1, 1.35313028e+1, 639176, 3
5.24331826e+1, 1.35314693e+1, 643704, 3
5.24330319e+1, 1.3531763e+1, 648791, 3
5.24329915e+1, 1.35316502e+1, 653397, 3
5.24328593e+1, 1.35316167e+1, 659083, 3
5.24327566e+1, 1.3531742e+1, 664575, 4
5.24325812e+1, 1.35320762e+1, 669311, 4
5.24324452e+1, 1.35322847e+1, 674145, 4
5.24323059e+1, 1.3532534e+1, 678772, 4
5.24321736e+1, 1.35327237e+1, 683847, 4
5.24320516e+1, 1.35328995e+1, 688524, 4
5.2431938e+1, 1.35330639e+1, 693144, 4
5.24317875e+1, 1.3533334e+1, 697902, 4
5.24316634e+1, 1.35335077e+1, 702533, 4
5.24315583e+1, 1.35337228e+1, 707189, 4
5.24314662e+1, 1.35337305e+1, 711783, 5
5.24313626e+1, 1.35335003e+1, 716409, 5
5.2431267e+1, 1.35333038e+1, 721186, 5
5.24311432e+1, 1.35331221e+1, 725781, 5
5.24310585e+1, 1.35329804e+1, 730299, 5
5.243095e+1, 1.35327458e+1, 735007, 5
5.24308371e+1, 1.35325356e+1, 739818, 4
5.24307612e+1, 1.35322709e+1, 744441, 5
5.24306645e+1, 1.35320367e+1, 749387, 5
5.24305741e+1, 1.35317941e+1, 754042, 5
5.24304832e+1, 1.3531549e+1, 759180, 5
5.24304263e+1, 1.35313695e+1, 763744, 5
